23.07,8504959,511400,23.06,N/A,N/A,26.71,506900,"+0.30 - +1.32%",+0.30,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.94,N/A,1.55,N/A,0.00,N/A,1932160000,22.85,N/A,N/A,N/A,N/A,N/A,23.14,N/A,N/A,16.42,56.31B,2441693000,N/A,8.55B,6.64,+40.40%,24.64,N/A,N/A,115,-1.58,-6.41%,"11:46am - <b>23.06</b>",23.06,N/A,N/A,"22.85 - 23.14",N/A,23.36,20.94,2.12,+10.12%,-0.30,-1.29%,"AXA",N/A,22.92,22.76,N/A,"+1.32%",0.46,0.85,"5/2/2014",11.89,N/A,N/A,0.00,N/A,N/A,"CS.PA",N/A,121.50B,0.00,"11:46am",N/A,N/A,N/A,1977940,N/A,N/A,"16.42 - 24.64",N/A,N/A,"PAR",N/A
53.96,1860518,192600,53.93,N/A,N/A,26.59,206000,"+0.21 - +0.39%",+0.21,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,4.43,N/A,2.95,N/A,0.00,N/A,494511000,53.58,N/A,N/A,N/A,N/A,N/A,54.19,N/A,N/A,39.65,29.91B,554627000,N/A,5.57B,14.28,+36.03%,57.66,N/A,N/A,43,-3.73,-6.47%,"11:46am - <b>53.93</b>",53.93,N/A,N/A,"53.58 - 54.19",N/A,54.83,49.64,4.29,+8.65%,-0.90,-1.64%,"VINCI ",N/A,53.89,53.72,N/A,"+0.39%",0.76,2.02,"4/27/2015",12.17,N/A,N/A,0.00,N/A,N/A,"DG.PA",N/A,39.10B,0.00,"11:46am",N/A,N/A,N/A,298416,N/A,N/A,"39.65 - 57.66",N/A,N/A,"PAR",N/A
22.970,1539881,114000,22.955,N/A,N/A,18.937,286900,"+0.230 - +1.012%",+0.230,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.780,N/A,2.250,N/A,0.000,N/A,227477000,22.735,N/A,N/A,N/A,N/A,N/A,22.980,N/A,N/A,20.900,42.66B,1858326000,N/A,17.01B,2.055,+9.833%,29.075,N/A,N/A,19,-6.120,-21.049%,"11:46am - <b>22.955</b>",22.955,N/A,N/A,"22.735 - 22.980",N/A,22.713,23.061,-0.106,-0.458%,0.242,+1.066%,"EDF",N/A,22.770,22.725,N/A,"+1.012%",0.579,1.200,"12/15/2014",12.896,N/A,N/A,0.000,N/A,N/A,"EDF.PA",N/A,72.87B,0.000,"11:46am",N/A,N/A,N/A,317001,N/A,N/A,"20.900 - 29.075",N/A,N/A,"PAR",N/A
109.20,526541,116500,109.10,N/A,N/A,23.19,199700,"+0.30 - +0.28%",+0.30,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,4.32,N/A,N/A,N/A,0.00,N/A,183830000,108.85,N/A,N/A,N/A,N/A,N/A,110.00,N/A,N/A,71.16,23.14B,211932000,N/A,1.33B,38.04,+53.46%,115.80,N/A,N/A,9,-6.60,-5.70%,"11:44am - <b>109.20</b>",109.20,N/A,N/A,"108.85 - 110.00",N/A,109.75,98.52,10.68,+10.84%,-0.55,-0.50%,"ESSILOR INTL",N/A,109.65,108.90,N/A,"+0.28%",4.07,4.70,"5/23/2014",25.28,N/A,N/A,0.00,N/A,N/A,"EI.PA",N/A,5.67B,0.00,"11:44am",N/A,N/A,N/A,85946,N/A,N/A,"71.16 - 115.80",N/A,N/A,"PAR",N/A
37.76,1208232,107700,37.74,N/A,N/A,23.37,10100,"+0.08 - +0.20%",+0.08,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,2.39,N/A,3.48,N/A,0.00,N/A,103570000,37.63,N/A,N/A,N/A,N/A,N/A,37.89,N/A,N/A,23.70,12.68B,336105000,N/A,1.55B,14.04,+59.24%,39.24,N/A,N/A,105,-1.50,-3.82%,"11:45am - <b>37.74</b>",37.74,N/A,N/A,"37.63 - 37.89",N/A,37.30,33.01,4.73,+14.34%,0.44,+1.18%,"BOUYGUES",N/A,37.76,37.67,N/A,"+0.20%",0.38,1.61,"4/28/2015",15.79,N/A,N/A,0.00,N/A,N/A,"EN.PA",N/A,33.25B,0.00,"11:45am",N/A,N/A,N/A,397889,N/A,N/A,"23.70 - 39.24",N/A,N/A,"PAR",N/A
46.935,7256221,68900,46.925,N/A,N/A,41.777,70000,"-0.400 - -0.845%",-0.400,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.561,N/A,3.550,N/A,0.000,N/A,1983974000,46.830,N/A,N/A,N/A,N/A,N/A,47.195,N/A,N/A,38.250,106.84B,2276296000,N/A,27.49B,8.685,+22.706%,54.710,N/A,N/A,426,-7.775,-14.211%,"11:46am - <b>46.935</b>",46.935,N/A,N/A,"46.830 - 47.195",N/A,47.780,45.874,1.061,+2.312%,-0.845,-1.769%,"TOTAL",N/A,47.095,47.335,N/A,"-0.845%",0.555,1.133,"3/23/2015",30.067,N/A,N/A,0.000,N/A,N/A,"FP.PA",N/A,194.13B,0.000,"11:46am",N/A,N/A,N/A,1151193,N/A,N/A,"38.250 - 54.710",N/A,N/A,"PAR",N/A
150.00,355424,25000,149.90,N/A,N/A,35.23,51800,"+1.75 - +1.18%",+1.75,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,7.23,N/A,-2.50,N/A,0.00,N/A,77640000,148.35,N/A,N/A,N/A,N/A,N/A,150.30,N/A,N/A,73.94,11.67B,77846000,N/A,1.29B,76.01,+102.80%,153.60,N/A,N/A,50,-3.65,-2.38%,"11:46am - <b>149.95</b>",149.95,N/A,N/A,"148.35 - 150.30",N/A,244.75,332.08,-182.13,-54.85%,-94.80,-38.73%,"VALEO",N/A,148.85,148.20,N/A,"+1.18%",0.91,4.21,"5/27/2014",20.74,N/A,N/A,0.00,N/A,N/A,"FR.PA",N/A,12.73B,0.00,"11:46am",N/A,N/A,N/A,55255,N/A,N/A,"73.94 - 153.60",N/A,N/A,"PAR",N/A
45.51,4237695,61000,45.49,N/A,N/A,55.92,193800,"+0.58 - +1.29%",+0.58,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,3.65,N/A,2.03,N/A,0.00,N/A,867443000,45.01,N/A,N/A,N/A,N/A,N/A,45.64,N/A,N/A,31.85,46.55B,1022916000,N/A,0.00,13.66,+42.89%,46.95,N/A,N/A,52,-1.44,-3.07%,"11:46am - <b>45.51</b>",45.51,N/A,N/A,"45.01 - 45.64",N/A,45.30,39.64,5.87,+14.81%,0.21,+0.47%,"SOCIETE GENERALE",N/A,45.40,44.93,N/A,"+1.29%",1.73,0.80,"5/27/2014",12.48,N/A,N/A,0.00,N/A,N/A,"GLE.PA",N/A,26.54B,0.00,"11:46am",N/A,N/A,N/A,930608,N/A,N/A,"31.85 - 46.95",N/A,N/A,"PAR",N/A
17.94,6510033,547800,17.94,N/A,N/A,20.72,88100,"+0.07 - +0.36%",+0.07,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,1.00,N/A,2.12,N/A,0.00,N/A,1443117000,17.86,N/A,N/A,N/A,N/A,N/A,17.98,N/A,N/A,16.17,42.88B,2390455000,N/A,11.29B,1.77,+10.95%,21.19,N/A,N/A,800,-3.25,-15.34%,"11:46am - <b>17.94</b>",17.94,N/A,N/A,"17.86 - 17.98",N/A,18.75,18.97,-1.03,-5.41%,-0.81,-4.32%,"GDF SUEZ",N/A,17.97,17.88,N/A,"+0.36%",0.57,0.86,"4/30/2015",17.94,N/A,N/A,0.00,N/A,N/A,"GSZ.PA",N/A,74.69B,0.00,"11:46am",N/A,N/A,N/A,1035426,N/A,N/A,"16.17 - 21.19",N/A,N/A,"PAR",N/A
167.85,417953,31000,167.80,N/A,N/A,84.23,22000,"+0.50 - +0.30%",+0.50,N/A,"EUR",N/A,N/A,N/A,"5/15/2015",N/A,4.20,N/A,N/A,N/A,0.00,N/A,74101000,166.85,N/A,N/A,N/A,N/A,N/A,168.05,N/A,N/A,140.05,21.19B,126244000,N/A,2.00B,27.80,+19.85%,198.50,N/A,N/A,60,-30.65,-15.44%,"11:46am - <b>167.85</b>",167.85,N/A,N/A,"166.85 - 168.05",N/A,172.90,170.12,-2.27,-1.34%,-5.05,-2.92%,"KERING",N/A,167.45,167.35,N/A,"+0.30%",2.10,1.99,"4/28/2015",39.98,N/A,N/A,0.00,N/A,N/A,"KER.PA",N/A,10.04B,0.00,"11:46am",N/A,N/A,N/A,48329,N/A,N/A,"140.05 - 198.50",N/A,N/A,"PAR",N/A
