ISIN;nom;ticker
FR0010095513p;CASA4,60%07-04/16;ACADK
FR0010101824p;CFF4%21JUL11;CFFAK
FR0010112052p;OAT4%25OCT14;ETAFS
FR0010112532p;OATPPMT0%25OCT14;ETAFT
FR0010125500p;CASA4,10%10-04/14;ACADL
FR0010125518p;CASA10-04/03-17;ACADM
FR0010134379p;CRH4,1%25OCT15;CRHAJ
FR0010135525p;OATIND1,6%25JUL15;ETAFZ
FR0010136309p;CIFE3,25%1DEC11;CIEAC
FR0010138487p;CASA4%12-04/16;ACADN
FR0010154385p;CASINO TV TSDI;CATS
FR0010163444p;CASA3,90%02-05/17;ACADO
FR0010163535p;CASA2%28FEB14;ACADP
FR0010163543p;OAT3,5%25APR15;ETAGE
FR0010167247p;CNP TSDI 6,5 3+TV;CNPAP
FR0010167296p;CNP TSDI 6,25 TV;CNPBP
FR0010171975p;OAT4%25APR55;ETAGI
FR0010177949p;CASA4%04-05/17;ACADQ
FR0010192997p;OAT3,75%25APR21;ETAGN
FR0010208751p;GROUPAMA TSDI4,375;GPATS
FR0010212613p;CNA3,75%15JUL25;CNACC
FR0010216481p;OAT3%25OCT15;ETAGT
FR0010235176p;OATIND1%25JUL17;ETAGY
FR0010236836p;CASA3,75%10-05/20;ACADT
FR0010256453p;BPCE3,7%16DEC17;BPCAD
FR0010259465p;CASA3,43%12-12;ACADV
FR0010259473p;CASA4,05%12-10/20;ACADU
FR0010271148p;CFF3,375%18JAN16;CFFAV
FR0010286294p;BPCE3,75%24FEB18;BPCAE
FR0010288357p;OAT3,25%25APR16;ETAHI
FR0010289082p;CASA4%03-12/18;ACADW
FR0010317511p;CASA4,20%05-13/18;ACADY
FR0010333989p;BPCE4,15%7JUL18;BPCAF
FR0010337097p;CASA4,30%06-12/18;ACADZ
FR0010371401p;OAT4%25OCT38;ETAHK
FR0010378505p;CASA4%18;ACAEB
FR0010401026p;CASA4%15;ACAEC
FR0010403980p;BPCE3,888%22DEC18;BPCAG
FR0010415331p;OAT3,75%25APR17;ETAHM
FR0010415356p;OATPPMT0%25APR17;ETAHN
FR0010425017p;BPCE4,23%16FEB19;BPCAH
FR0010429092p;CASA 4,40% 18;ACAED
FR0010447367p;OATIND1,8%25JUL40;ETAHO
FR0010456384p;CASA 4.30%19;ACAEE
FR0010466938p;OAT4,25%25OCT23;ETAHP
FR0010471714p;BPCE4,5%15JUN19;BPCAI
FR0010476978p;CASA 4,60%19;ACAEH
FR0010517417p;OAT4,25%25OCT17;ETAHR
FR0010521559p;CASA 4.70%17;ACAEI
FR0010525691p;BPCE4,9%2NOV19;BPCAJ
FR0010540930p;BPCE4,6%14DEC19;BPCAK
FR0010550053p;CASA5%19;ACAEJ
FR0010567651p;CASA5.40%20;ACAEM
FR0010567677p;CASA4.40%13;ACAEL
FR0010576454p;BPCE4,55%22FEB18;BPCAL
FR0010585901p;OATIND2,1%25JUL23;ETAHT
FR0010599209p;CREDAGRI5,8% 20;ACAEN
FR0010604983p;OAT4%25APR18;ETAHV
FR0010621532p;BPCE5,1%27JUN18;BPCAM
FR0010631671p;CASA 5,3% 11;ACAEO
FR0010634485p;CASAFRN1AUG12;ACAEP
FR0010669259p;CASA 5,2% 12;ACAEQ
FR0010670737p;OAT4,25%25OCT18;ETAHX
FR0010692293p;CASA 6,25% 20;ACAES
FR0010692590p;CASA 4,75% 13;ACAER
FR0010713875p;CREDAGRI 4% 14;ACAEV
FR0010733626p;BFCM4.05%9AVR2013;BFCAB
FR0010743096p;CASA 6,25% 19;ACAEW
FR0010745752p;BPCE 5,1% 19;CNEAA
FR0010750497p;VEOLIAEN 5,25% 14;VIEAA
FR0010753293p;GIFIFRN31DEC13;YIGF
FR0010757864p;BPCE5%19JUN19;CNEAB
FR0010758888p;EDF 4,5% 17JUL14;EDFAO
FR0010762716p;CASA 6% 21;ACAEX
FR0010773192p;OAT4,5%25AVR41;ETAHZ
FR0010776161p;OAT3.75%09-19;ETAIB
FR0010781013p;ORPEAFRN14AUG15;ORPA
FR0010783514p;PRODW7,9%15OCT15;PROBD
FR0010789974p;PAYSLOIRE4%16OCT15;LOIA
FR0010797936p;GDEGRENNEORA1112;YGUYD
FR0010801258p;CA3,10%07OCT2014;ACAEY
FR0010806737p;BPCE3.90%30OCT2017;BPCAN
FR0010809434p;OAT0%251030 DEM;ETAIG
FR0010809541p;OAT0%250414 DEM;ETAIQ
FR0010809558p;OAT0%250448 DEM;ETAIR
FR0010809566p;OAT0%251014 DEM;ETAIS
FR0010809681p;OAT0%251012 DEM;ETAJC
FR0010809772p;OAT0%250416 DEM;ETAJJ
FR0010809822p;OAT0%250417 DEM;ETAJO
FR0010809871p;OAT0%250422 DEM;ETAJT
FR0010809921p;OAT0%250423 DEM;ETAJY
FR0010809947p;OAT0%250419 DEM;ETAKA
FR0010809954p;OAT0%251023 DEM;ETAKB
FR0010810069p;OAT 0%250425 DEM;ETAKJ
FR0010810192p;OAT 0%251011 DEM;ETAKV
FR0010810218p;OAT 0%250429 DEM;ETAKX
FR0010814178p;MRBRFRN18NOV2014;MRBO
FR0010827030p;CASA4.50%22DEC19;ACAEZ
FR0010827089p;RADIAN4.40%29DEC19;RADAA
FR0010827337p;MICRFRN16DEC14;OBMUN
FR0010827642p;OENEO ORA 0317;YSBT
FR0010834168p;BPCE3.90%5FEB2018;BPCAO
FR0010839647p;CA3,10%29JAN16;ACAFB
FR0010839662p;CA0%23MAR18;ACAFA
FR0010850032p;OATI1.30%25JUL19;ETAKZ
FR0010854182p;OAT3,50%25AVRIL20;ETALC
FR0010865642p;CASA4.50%03/10/20;ACAFC
FR0010870956p;OAT4.00%25AVRIL60;ETALD
FR0010871541p;RENAU5.625%22MAR17;RNOBG
FR0010877936p;BPCE3.70%14MAY2018;BPCAB
FR0010885871p;CFF2.625%16APR15;CFFBE
FR0010891093p;TECHORA2EUR 1211;YTCHD
FR0010891127p;TECHORA2CEUR 1211;YTCHG
FR0010892570p;BFCM ZC 16JUN20;BFCAC
FR0010896522p;BPCE4.03%2JUL2020;BPCAP
FR0010899765p;OATEI1.10%25JUL22;ETALJ
FR0010905133p;CASA4.50%30JUN2020;ACAFF
FR0010905141p;CASA3,20%30JUN2017;ACAFE
FR0010914390p;FONCIE VOLTA ORANE;YSPEL
FR0010915116p;UG5.625%29JUN2015;UGAA
FR0010915991p;BIONERS 7%27JUL15;YALB
FR0010916734p;RENAU30JUN15;RNOBH
FR0010916924p;OAT 3.50%25APR26;ETALL
FR0010945725p;Cybergun Obl 8% Oct16;CYBO
NL0000004802p;LEDGER3%29SEP49;LB3A
XS0087426853p;BNG5,375%5JUN13;BN53A
XS0095151196p;BNG4,5%10MAR14;BN4A
XS0230228933p;EIB3,125%15OCT15;BEIAF
XS0249816579p;EIB3,625%15OCT11;BEIAH
XS0258132272p;EIBFRN21JUL16;BEIA
XS0327177134p;EIB4,375%15APR13;BEIAD
XS0368222872p;BNPPARIB 4,5% 11;BNPAR
