FR0000052870;28/04/15;161,80;162,00;159,00;159,10;4663
FR0000052870;29/04/15;216,80;217,40;216,60;216,90;447895
FR0000052870;30/04/15;216,90;217,35;214,05;216,80;32490
FR0000053225;24/04/15;19,665;19,665;19,21;19,53;174059
FR0000053225;27/04/15;19,505;19,735;19,25;19,655;95173
FR0000053225;28/04/15;19,60;19,60;18,42;18,59;299011
FR0000053225;29/04/15;18,60;18,72;18,345;18,38;209915
FR0000053225;30/04/15;18,34;18,665;18,16;18,60;171272
FR0000053266;24/04/15;230,10;233,20;228,55;229,25;4229
FR0000053266;27/04/15;230,90;233,50;230,05;230,95;6551
FR0000053266;28/04/15;233,05;233,05;225,00;228,00;7320
FR0000053266;29/04/15;228,20;232,25;226,50;228,10;7334
FR0000053266;30/04/15;228,50;228,80;224,95;227,15;4487
FR0000053829;24/04/15;157,00;157,00;152,00;153,00;737
FR0000053829;27/04/15;153,01;153,56;150,00;153,00;126
FR0000053829;28/04/15;153,00;153,00;152,00;152,00;528
FR0000053829;29/04/15;152,01;152,01;151,68;151,99;420
FR0000053829;30/04/15;152,00;152,16;151,99;152,15;548
FR0000054900;24/04/15;15,74;15,85;15,535;15,755;725912
FR0000054900;27/04/15;15,685;16,045;15,54;16,02;495947
FR0000054900;28/04/15;15,935;16,01;15,62;15,73;876616
FR0000054900;29/04/15;15,73;15,78;15,45;15,45;501020
FR0000054900;30/04/15;15,00;15,875;14,50;15,615;970291
FR0000060501;24/04/15;29,30;29,40;29,01;29,35;1278
FR0000060501;27/04/15;29,40;30,00;29,35;30,00;65343
FR0000060501;28/04/15;30,09;30,09;29,83;30,00;263
FR0000060501;29/04/15;30,09;30,90;30,05;30,90;2251
FR0000060501;30/04/15;31,00;31,50;30,60;31,50;2105
FR0000060618;24/04/15;34,40;34,905;34,155;34,905;72478
FR0000060618;27/04/15;34,765;35,07;34,45;34,80;36323
FR0000060618;28/04/15;34,525;34,58;34,02;34,235;51515
FR0000060618;29/04/15;34,155;34,30;33,59;33,915;30697
FR0000060618;30/04/15;33,725;33,885;33,315;33,335;49297
FR0000061129;24/04/15;100,15;101,30;100,15;101,00;3237
FR0000061129;27/04/15;101,00;102,15;100,00;100,65;4990
FR0000061129;28/04/15;99,35;100,40;97,42;100,40;6295
FR0000061129;29/04/15;100,30;100,30;98,00;98,50;5617
FR0000061129;30/04/15;101,75;101,75;97,60;99,37;6957
FR0000062234;24/04/15;1048,00;1060,00;1040,10;1040,10;270
FR0000062234;27/04/15;1047,95;1077,30;1043,15;1060,10;316
FR0000062234;28/04/15;1047,05;1080,00;1043,00;1050,00;333
FR0000062234;29/04/15;1050,00;1085,00;1026,30;1026,30;350
FR0000062234;30/04/15;1032,15;1049,95;1002,05;1039,70;703
FR0000064578;24/04/15;88,60;89,50;86,59;87,00;112183
FR0000064578;27/04/15;87,50;88,33;86,03;88,09;164792
FR0000064578;28/04/15;88,48;88,70;86,08;86,34;131306
FR0000064578;29/04/15;86,34;86,91;84,84;84,84;104229
FR0000064578;30/04/15;84,68;85,92;84,25;84,43;160264
FR0000073272;24/04/15;69,11;69,50;67,79;68,83;828946
FR0000073272;27/04/15;68,29;68,75;67,24;68,28;973847
FR0000073272;28/04/15;68,39;68,41;67,40;68,03;1044810
FR0000073272;29/04/15;68,00;68,48;65,22;65,23;1053162
FR0000073272;30/04/15;65,11;65,97;64,09;65,25;1257522
FR0000073298;24/04/15;25,985;25,985;25,625;25,845;107317
FR0000073298;27/04/15;25,71;26,345;25,505;26,235;105129
FR0000073298;28/04/15;25,79;26,355;25,79;26,25;78523
FR0000073298;29/04/15;26,165;26,49;25,85;25,99;83610
FR0000073298;30/04/15;26,05;26,40;25,69;26,30;113342
FR0000077919;24/04/15;33,28;33,28;32,96;33,105;111038
FR0000077919;27/04/15;33,02;33,785;33,00;33,66;155841
FR0000077919;28/04/15;33,725;33,74;33,00;33,08;202382
FR0000077919;29/04/15;34,00;34,25;33,605;33,755;274824
FR0000077919;30/04/15;33,915;35,71;33,505;35,29;483561
FR0000079659;27/04/15;8300,00;8400,00;8300,00;8400,00;3
FR0000120073;24/04/15;119,90;120,05;118,40;119,30;1066011
FR0000120073;27/04/15;119,40;121,75;117,65;121,35;1013507
FR0000120073;28/04/15;121,05;121,05;118,35;119,30;787854
FR0000120073;29/04/15;119,45;120,35;116,00;116,00;1076118
FR0000120073;30/04/15;115,80;117,15;114,75;116,80;1194638
FR0000120164;24/04/15;6,348;6,407;6,238;6,332;1464156
FR0000120164;27/04/15;6,327;6,46;6,221;6,456;1712779
FR0000120164;28/04/15;6,432;6,644;6,361;6,379;1960817
FR0000120164;29/04/15;6,36;6,39;6,17;6,197;1642729
FR0000120164;30/04/15;6,221;6,38;6,136;6,328;1768378
FR0000120172;24/04/15;31,545;31,705;31,13;31,415;2143886
FR0000120172;27/04/15;31,395;31,865;31,05;31,615;2668840
FR0000120172;28/04/15;31,57;31,805;31,35;31,575;3308605
FR0000120172;29/04/15;31,63;31,725;30,84;30,88;3027278
FR0000120172;30/04/15;31,07;31,13;30,65;30,79;3410225
FR0000120222;24/04/15;16,60;16,67;16,21;16,315;366167
FR0000120222;27/04/15;16,305;16,57;16,11;16,515;409742
FR0000120222;28/04/15;16,505;16,555;16,15;16,285;274113
FR0000120222;29/04/15;16,205;16,395;16,035;16,035;305838
FR0000120222;30/04/15;16,015;16,13;15,905;16,035;319162
FR0000120271;24/04/15;48,755;48,99;47,70;48,005;5861637
FR0000120271;27/04/15;47,87;49,36;47,37;49,17;7040530
FR0000120271;28/04/15;50,00;50,30;49,37;49,68;9805808
FR0000120271;29/04/15;49,99;50,12;47,985;48,435;9737915
FR0000120271;30/04/15;48,52;48,86;47,975;48,485;9769606
FR0000120321;24/04/15;175,40;176,65;174,00;175,75;509431
FR0000120321;27/04/15;175,50;179,55;173,35;179,25;670393
FR0000120321;28/04/15;178,45;178,75;172,45;174,00;752047
FR0000120321;29/04/15;174,05;175,90;169,20;169,20;820080
FR0000120321;30/04/15;169,00;172,00;167,25;170,45;900945
FR0000120354;24/04/15;24,285;24,725;23,695;23,89;1205962
FR0000120354;27/04/15;23,855;24,37;23,655;24,365;937738
FR0000120354;28/04/15;24,30;24,525;23,75;24,00;1159690
FR0000120354;29/04/15;23,715;23,99;23,035;23,14;1243730
FR0000120354;30/04/15;19,50;21,00;19,00;21,00;7178764
FR0000120404;24/04/15;50,10;50,47;49,575;49,965;706562
FR0000120404;27/04/15;50,11;50,76;48,92;50,76;812149
FR0000120404;28/04/15;50,60;50,68;48,82;49,33;1154247
FR0000120404;29/04/15;49,27;50,28;48,50;48,51;1786367
FR0000120404;30/04/15;48,71;49,205;48,28;48,99;1168595
FR0000120495;24/04/15;272,00;280,00;271,00;272,00;1168
FR0000120495;27/04/15;272,00;275,50;272,00;272,00;476
FR0000120495;28/04/15;274,95;274,95;271,50;271,50;31
FR0000120495;29/04/15;270,55;273,00;261,05;261,20;809
FR0000120495;30/04/15;263,50;269,00;263,50;269,00;136
FR0000120503;24/04/15;38,40;38,755;38,00;38,70;1122150
FR0000120503;27/04/15;38,71;39,24;38,235;39,045;1326449
FR0000120503;28/04/15;37,565;37,66;37,16;37,27;2588692
FR0000120503;29/04/15;37,355;37,56;36,905;37,07;2284994
FR0000120503;30/04/15;37,00;37,095;36,625;36,93;2553051
FR0000120537;24/04/15;65,71;65,86;64,90;65,00;453202
FR0000120537;27/04/15;65,00;65,88;64,30;65,55;599177
FR0000120537;28/04/15;65,32;65,43;64,01;64,44;793473
FR0000120537;29/04/15;64,62;64,90;62,69;62,94;694771
FR0000120537;30/04/15;65,80;66,89;64,27;65,33;1535682
FR0000120560;24/04/15;44,92;45,19;44,00;44,225;175638
FR0000120560;27/04/15;44,23;44,25;43,46;43,805;197406
FR0000120560;28/04/15;43,90;44,25;43,56;43,775;83079
FR0000120560;29/04/15;43,75;43,93;42,765;42,765;97180
FR0000120560;30/04/15;42,68;43,45;42,41;42,955;166984
FR0000120578;24/04/15;95,78;96,11;94,88;95,86;2766842
FR0000120578;27/04/15;95,74;97,67;94,32;97,33;2788637
FR0000120578;28/04/15;96,71;96,71;93,21;94,15;3587195
FR0000120578;29/04/15;94,15;94,54;91,56;91,56;3943993
FR0000120578;30/04/15;92,50;92,79;90,22;91,20;4608105
FR0000120628;24/04/15;23,255;23,345;22,725;22,87;11579428
FR0000120628;27/04/15;22,855;23,445;22,435;23,325;9056081
FR0000120628;28/04/15;23,28;23,30;22,365;22,50;12908034
FR0000120628;29/04/15;22,64;22,735;22,08;22,245;9754905
FR0000120628;30/04/15;22,285;22,72;22,075;22,615;10216807
FR0000120644;24/04/15;67,26;67,38;66,44;66,98;1647816
FR0000120644;27/04/15;67,01;67,74;66,15;67,48;1836093
FR0000120644;28/04/15;66,96;67,02;65,80;66,37;1556813
FR0000120644;29/04/15;66,26;66,58;64,38;64,38;2350470
FR0000120644;30/04/15;64,13;64,73;63,73;64,51;2266949
FR0000120685;24/04/15;7,545;7,719;7,536;7,646;5118673
FR0000120685;27/04/15;7,683;7,784;7,58;7,744;5453691
FR0000120685;28/04/15;7,728;7,744;7,597;7,662;4126516
FR0000120685;29/04/15;7,653;7,689;7,278;7,278;7914165
FR0000120685;30/04/15;7,224;7,39;6,954;7,386;11787708
FR0000120693;24/04/15;117,25;117,30;115,80;117,25;596004
FR0000120693;27/04/15;116,55;117,55;115,10;116,90;452907
FR0000120693;28/04/15;116,90;117,15;114,05;114,75;474863
FR0000120693;29/04/15;114,70;115,55;110,30;110,40;728079
FR0000120693;30/04/15;110,55;112,55;109,65;111,00;907787
FR0000120859;24/04/15;71,41;71,68;70,95;71,44;102396
FR0000120859;27/04/15;71,40;73,93;71,00;73,41;147344
FR0000120859;28/04/15;73,04;73,11;70,38;71,05;99160
FR0000120859;29/04/15;71,00;71,81;69,11;69,11;85957
FR0000120859;30/04/15;68,70;68,98;65,65;67,92;201023
FR0000120966;24/04/15;150,75;152,00;149,35;151,65;61619
FR0000120966;27/04/15;151,80;152,30;148,95;152,25;59422
FR0000120966;28/04/15;150,00;152,65;148,55;149,75;60148
FR0000120966;29/04/15;150,85;153,10;148,60;148,85;53540
FR0000120966;30/04/15;149,85;152,55;148,00;152,55;72670
FR0000121014;24/04/15;160,65;161,40;159,25;161,05;1108499
FR0000121014;27/04/15;161,05;162,65;159,05;162,65;858188
FR0000121014;28/04/15;162,50;162,50;157,00;158,85;841900
FR0000121014;29/04/15;159,40;161,00;155,70;155,75;1040647
FR0000121014;30/04/15;156,85;157,90;154,10;156,60;1315596
FR0000121121;24/04/15;63,86;64,92;63,78;64,80;78436
FR0000121121;27/04/15;64,85;66,31;64,21;66,22;85832
FR0000121121;28/04/15;66,15;66,41;64,25;64,75;84966
FR0000121121;29/04/15;65,11;65,11;63,03;63,07;84123
FR0000121121;30/04/15;63,00;64,23;62,81;63,91;105210
FR0000121147;24/04/15;44,58;45,12;43,925;44,465;551751
FR0000121147;27/04/15;44,50;45,33;43,85;45,33;398313
FR0000121147;28/04/15;45,41;45,485;43,00;43,555;544126
FR0000121147;29/04/15;44,01;44,01;41,80;42,27;663510
FR0000121147;30/04/15;42,40;42,95;41,325;42,38;893785
FR0000121204;24/04/15;110,70;111,00;109,00;109,85;76209
FR0000121204;27/04/15;109,60;111,90;108,50;111,90;93118
FR0000121204;28/04/15;111,90;111,90;109,35;110,10;59429
FR0000121204;29/04/15;110,10;112,05;109,20;109,20;124336
